Category,Company Name,Street,Suburb,State,Code,Country,Phone,Website,Mobile,Fax,Postal Address,Email,Longitude,Latitude,Charge Per Session(in dollars)
Hospital Equipment & Supplies,Advanced Healthcare Furniture,28 Partridge Crs,Frankston,VIC,3199,Australia,(03) 9770 9011,anna.kerr@reddiff.com,0411 543 410,(03) 0238 0724,P.O. Box 638,fringilla.Donec@felispurus.org,145.15508,-38.17278,
Hospital Equipment & Supplies,Air Liquide Healthcare,25 Campbell St,Bowen Hills,QLD,4006,Australia,1300 360 202,angela.turner@reddiff.com,0443 319 620,(03) 9555 7253,P.O. Box 854,risus.quis.diam@magna.net,153.03677,-27.44741,
Hospital Equipment & Supplies,Air Liquide Healthcare,40 Bunnett St,Sunshine North,VIC,3020,Australia,1300 360 202,jason.north@reddiff.com,0447 909 672,(03) 2234 3603,101-2730 Lorem. St.|NT|1559|Australia,nec.mauris@luctus.ca,144.84239,-37.76313,
Hospital Equipment & Supplies,Air Liquide Healthcare,600 Goodwood Rd,Daw Park,SA,5041,Australia,1300 360 202,leah.scott@reddiff.com,0405 739 219,(03) 2790 8998,319-2027 Aenean Rd.|NSW|4821|Australia,nunc@Inornare.ca,138.591974,-34.98224,
Hospital Equipment & Supplies,Air Liquide Healthcare Pty Ltd,Suite 9/ 9 Scott St,Toowoomba,QLD,4350,Australia,(07) 4639 4844,isaac.dyer@reddiff.com,0405 959 452,(03) 4538 2851,P.O. Box 627,ridiculus.mus.Aenean@egetnisi.ca,151.973789,-27.565943,
Hospital Equipment & Supplies,Akras Engineering,21 Union Rd,Dandenong,VIC,3175,Australia,(03) 9794 7887,jack.terry@reddiff.com,0420 857 366,(03) 8820 6437,P.O. Box 628,risus.quis@netuset.edu,145.20466,-38.00755,
Hospitals--Public,Albany Regional Hospital,Warden Ave,Albany,WA,6330,Australia,(08) 9892 2222,nicholas.skinner@reddiff.com,0441 054 597,(03) 9474 5108,P.O. Box 561,rutrum@uterosnon.edu,117.904479,-35.004791,
Hospitals--Private,Albert Road Clinic,31- 33 Albert Rd,Melbourne,VIC,3004,Australia,(03) 9256 8311,robert.marshall@reddiff.com,0418 557 349,(03) 2210 8659,P.O. Box 187,sit.amet@quamelementum.net,144.972465,-37.834448,
Hospitals--Public,Albury Base Hospital,Borella Rd,Albury,NSW,2640,Australia,(02) 6058 4444,paul.davidson@reddiff.com,0454 463 392,(03) 9684 7618,Ap #497-5054 Facilisis,in.felis@elitfermentumrisus.ca,146.925953,-36.075237,
Hospitals--Private,Albury Day Surgery,4 Baker Crt,West Albury,NSW,2640,Australia,(02) 6041 1511,brandon.arnold@reddiff.com,0442 953 840,(03) 7207 2046,P.O. Box 639,quis@nequeNullam.org,146.88357,-36.07366,
Hospitals--Private,Albury Wodonga Private Hospital,1125 Pemberton St,Albury,NSW,2640,Australia,(02) 6041 1411,lily.bell@reddiff.com,0409 705 075,(03) 8584 7184,P.O. Box 930,amet@sollicitudinadipiscing.org,146.88308,-36.07482,
Hospital Equipment & Supplies,Alert Tech Pty Ltd,,Noble Park,VIC,3174,Australia,1300 885 147,melanie.lee@reddiff.com,0408 338 040,(03) 4430 1879,673-1227 Nec Street|QLD|5270|Australia,pede.malesuada.vel@diamdictumsapien.edu,145.173793,-37.970061,
Hospitals--Public,Alexandra District Hospital,Myrtle St,Alexandra,VIC,3714,Australia,(03) 5772 0900,gordon.randall@reddiff.com,0439 997 240,(03) 1803 4843,P.O. Box 775,Nunc.sollicitudin@nascetur.net,145.714853,-37.194562,
Hospitals--Public,Alfred Hospital,Commercial Rd,Prahran,VIC,3181,Australia,(03) 9276 2000,sean.cornish@reddiff.com,0469 331 879,(03) 5503 0223,P.O. Box 189,mauris.Suspendisse.aliquet@anteVivamusnon.com,144.989584,-37.846272,
Hospitals--Private,Alice Springs Renal Unit,PO Box 4452,Alice Springs,NT,870,Australia,(08) 8955 4900,jan.coleman@reddiff.com,0457 117 790,(03) 3514 2618,Ap #744-3558 Sed St.|VIC|1902|Australia,Proin.vel@Cum.net,133.87823,-23.698143,
Hospitals--Private,Alkira Hostel,35 Marquis St,Gunnedah,NSW,2380,Australia,(02) 6742 4333,diana.davies@reddiff.com,0485 462 393,(03) 3012 9109,874-9250 Feugiat Rd.|NSW|7033|Australia,eleifend.Cras.sed@Aliquam.edu,150.25167,-30.98215,
Hospitals--Private,Allamanda Dialysis Centre,Top Floor Allamanda Medical Centre 25 Spendelove St,Southport,QLD,4215,Australia,(07) 5519 1400,adam.campbell@reddiff.com,0467 611 818,(03) 9637 6885,725-126 Proin St.|NT|2148|Australia,ante.Nunc@Vestibulumante.net,153.407883,-27.973187,
Hospitals--Private,Allamanda Private Hospital,21 Spendelove St,Southport,QLD,4215,Australia,(07) 5532 6444,nicola.bailey@reddiff.com,0430 738 737,(03) 7762 4735,Ap #182-5232 Nulla Road|ACT|2484|Australia,feugiat.tellus.lorem@eu.edu,153.408028,-27.973214,
Hospitals--Private,Allowah Children's Hospital,8 Perry St,Dundas,NSW,2117,Australia,(02) 9858 4994,faith.ross@reddiff.com,0470 198 044,(03) 5410 6881,P.O. Box 978,sed.dolor@blandit.com,151.06389,-33.79183,
Hospitals--Public,Alpha Hospital,Gordon St,Alpha,QLD,4724,Australia,(07) 4985 1100,stewart.robertson@reddiff.com,0448 170 433,(03) 5361 6556,P.O. Box 129,malesuada.ut@idblanditat.org,146.636072,-23.654304,
Hospital Equipment & Supplies,Alpha Medical Supplies Imports Pty Ltd,"Unit 4, 332- 334 Main Rd",Glenorchy,TAS,7010,Australia,(03) 6273 1091,grace.ellison@reddiff.com,0406 084 502,(03) 1075 7943,P.O. Box 263,sagittis@liberoProin.co.uk,147.27928,-42.83397,
Hospitals--Public,Alpine Health,30 O'Donnell Ave,Myrtleford,VIC,3737,Australia,(03) 5751 9300,wendy.turner@reddiff.com,0484 436 652,(03) 2229 8488,5200 Augue Street|NT|4806|Australia,malesuada@hymenaeos.edu,146.72757,-36.554522,
Hospitals--Private,Alvan Park Private Hospital,14 Alvan St,Mt Lawley,WA,6050,Australia,(08) 9370 2500,sarah.peake@reddiff.com,0463 087 462,(03) 2830 4479,P.O. Box 291,Donec@musAeneaneget.org,115.874596,-31.934476,
Hospitals--Private,Alwyn Rehabilitation Hospital,1 Emu St,Strathfield,NSW,2135,Australia,(02) 9744 7161,maria.scott@reddiff.com,0470 250 459,(03) 1059 4577,P.O. Box 994,mattis@facilisiSed.com,151.09435,-33.88285,
Hospital Equipment & Supplies,Ames Medical Equipment Specialists Pty Ltd,99 Campbell St,Hobart,TAS,7000,Australia,(03) 6231 5884,samantha.rees@reddiff.com,0423 283 047,(03) 8291 9270,Ap #792-4830 Natoque Av.|VIC|7898|Australia,lorem.fringilla@vestibulumMaurismagna.co.uk,147.32794,-42.87722,
Hospital Equipment & Supplies,Anaequip Medical Pty Ltd,Unit 6/ 28 Heath St,Lonsdale,SA,5160,Australia,(08) 8382 4855,tracey.randall@reddiff.com,0490 294 403,(03) 0205 5108,P.O. Box 849,euismod.enim.Etiam@Ut.ca,138.5039,-35.11367,
Hospitals--Private,Anaster Residential Care,47 Glen Osmond Rd,Eastwood,SA,5063,Australia,(08) 8271 0264,maria.ogden@reddiff.com,0402 411 600,(03) 4009 0671,Ap #651-3172 Odio. Avenue|ACT|6402|Australia,mattis@lacusNullatincidunt.ca,138.62006,-34.94275,
Hospitals--Private,Andrea Ahern Private Hospital,96 Berrburrum St,Caloundra,QLD,4551,Australia,(07) 5491 1522,evan.may@reddiff.com,0431 829 737,(03) 2850 8019,P.O. Box 173,arcu@et.co.uk,153.12628,-26.78305,
psychiatrist,A Gopinath Dr,269 Kingsgrove Rd,Kingsgrove,NSW,2208,Australia,(02) 9150 9204,diane.mcdonald@reddiff.com,0433 194 015,(03) 5819 8680,134-722 Facilisis,ac@nequeSed.org,151.1013,-33.94305,162
psychiatrist,A. Nashed Dr,Shop 4/ 5 Patrick St,Blacktown,NSW,2148,Australia,(02) 9894 6475,sophie.manning@reddiff.com,0421 224 201,(03) 0155 2147,P.O. Box 197,volutpat@veliteget.ca,150.90631,-33.76928,178
psychiatrist,A. Waverley Family Healthcare,58 Pinewood Drv,Mt Waverley,VIC,3149,Australia,(03) 9802 8000,molly.hardacre@reddiff.com,0427 269 908,(03) 7309 4877,P.O. Box 979,purus.Maecenas.libero@vitaeorciPhasellus.net,145.14453,-37.89022,46
psychiatrist,A.J.K. Fischer,Godfrey Rd,Gobur,VIC,3719,Australia,(03) 5795 1165,molly.hamilton@reddiff.com,0429 247 013,(03) 7027 8182,355-7041 Nibh. Ave|TAS|9136|Australia,nec.enim@est.net,145.6146,-37.014,111
psychiatrist,A.R.F. Younan,46 John Oxley Ave,Werrington,NSW,2747,Australia,(02) 9623 8829,dominic.dyer@reddiff.com,0467 807 361,(03) 1022 9138,P.O. Box 566,fermentum.arcu.Vestibulum@Aeneanegestas.org,150.74626,-33.75073,77
psychiatrist,A.S.M.C. Armadale,1232 High St,Armadale,VIC,3143,Australia,(03) 9509 5922,michael.paige@reddiff.com,0472 260 971,(03) 5970 4768,P.O. Box 428,in.lobortis.tellus@Donecluctus.net,145.02786,-37.85667,152
psychiatrist,A/Pro Philip Craig,"Suite 6, Level 5, 1 South Street St. George Private Medical Complex,",Kogarah,NSW,2217,Australia,(02) 9553 9353,james.manning@reddiff.com,0404 472 678,(03) 1394 4077,P.O. Box 782,mattis.ornare.lectus@dui.org,151.134494,-33.966879,153
psychiatrist,A/Pro Philip Craig,"St George Private Medical Complex Suite 6 / Lvl 5, 1 South St",Kogarah,NSW,2217,Australia,(02) 9553 9353,cameron.dowd@reddiff.com,0416 404 792,(03) 4289 2527,Ap #626-4070 Parturient Avenue|ACT|1906|Australia,magna.Suspendisse.tristique@Etiamgravidamolestie.com,151.136809,-33.966224,55
psychiatrist,A/Prof Arun Aggarwal Neurologist,1/ 190 Victoria Rd,Rozelle,NSW,2039,Australia,(02) 9810 6833,michael.young@reddiff.com,0445 840 409,(03) 4831 2550,3322 Curabitur Rd.|NT|4499|Australia,fermentum.fermentum@atvelit.ca,151.16768,-33.86268,137
psychiatrist,A/Prof Eden John Dr,Level 2 Royal Hospital for Women Barker St,Randwick,NSW,2031,Australia,1300 722 206,diane.watson@reddiff.com,0447 387 459,(03) 7751 7308,4116 Sed Ave|QLD|4635|Australia,vitae.semper.egestas@sed.com,151.238879,-33.921199,150
psychiatrist,A/Prof Pressley Lynne,"Suite 1.09, Mater Clinic 3-9 Gillies St",North Sydney,NSW,2060,Australia,(02) 9923 7150,joan.powell@reddiff.com,0417 127 753,(03) 4746 2387,P.O. Box 199,id.erat@tinciduntvehicula.org,151.201017,-33.832269,125
psychiatrist,A/Prof Svigos John M,Level 2/ 77 King William Rd,North Adelaide,SA,5006,Australia,(08) 8239 2811,anne.wilson@reddiff.com,0447 017 679,(03) 7072 2803,687-1106 Ornare Avenue|NT|1645|Australia,eu.accumsan.sed@Maurisnondui.net,138.59858,-34.9111,92
psychiatrist,Aaron Thornton Dr,141 Cranbourne Rd,Frankston,VIC,3199,Australia,(03) 9783 6670,william.sharp@reddiff.com,0485 531 335,(03) 1806 8083,433-7628 Blandit St.|TAS|1222|Australia,ante.iaculis.nec@blanditat.co.uk,145.14334,-38.14834,42
psychiatrist,AASC - Dr Reed,Ground Floor 174 Victoria Pde,East Melbourne,VIC,3002,Australia,1300 361 030,jack.lyman@reddiff.com,0469 241 707,(03) 1690 0343,Ap #820-8383 Eleifend,luctus.et.ultrices@Crasdictum.net,144.97772,-37.80893,99
psychiatrist,Abadia Jose,222 Tapleys Hill Rd,Seaton,SA,5023,Australia,(08) 8244 4438,carol.reid@reddiff.com,0461 304 568,(03) 8260 8093,837-2177 Varius Rd.|WA|4193|Australia,dolor.Donec.fringilla@egestasAliquamnec.edu,138.51276,-34.88311,108
psychiatrist,Abadia Jose Dr,,West Lakes Shore,SA,5020,Australia,,jack.fisher@reddiff.com,0402 341 992,(03) 4775 1705,5542 Phasellus Street|NSW|9030|Australia,lacinia.at@diam.net,138.485149,-34.864963,109
psychiatrist,Abaul Hassan Syed,"The Market Place Suite 2, Lvl 1 30 Hibberson St",Gungahlin,ACT,2912,Australia,(02) 6255 7007,lily.powell@reddiff.com,0427 026 966,(03) 3689 2494,2517 Sit Avenue|WA|7205|Australia,pede.Praesent.eu@lobortistellusjusto.com,149.133397,-35.18592,123
psychiatrist,Abbotsford Family Medical Practice,409 Great North Rd,Abbotsford,NSW,2046,Australia,(02) 9713 7988,alexander.berry@reddiff.com,0435 834 100,(03) 6456 0069,Ap #139-8045 Congue. Rd.|NT|2786|Australia,mattis.semper@cursusetmagna.net,151.13006,-33.85572,107
psychiatrist,Abraham K,51 Ogilvie St,Denman,NSW,2328,Australia,(02) 6547 3955,sue.smith@reddiff.com,0478 749 868,(03) 7697 9196,Ap #201-3758 Proin Street|VIC|1433|Australia,tellus.faucibus@libero.net,150.68488,-32.38949,96
psychiatrist,Abraham Rick,627 Rode Rd,Chermside,QLD,4032,Australia,(07) 3834 4428,anna.tucker@reddiff.com,0494 367 816,(03) 8856 6975,P.O. Box 327,venenatis@Suspendisseseddolor.co.uk,153.02327,-27.3862,124
psychiatrist,Abraham Robert D A,Suite 602 12 Century Cct,Baulkham Hills,NSW,2153,Australia,(02) 9659 3345,molly.langdon@reddiff.com,0421 877 463,(03) 8182 0094,P.O. Box 354,eget.mollis.lectus@eudoloregestas.co.uk,150.9648,-33.73238,97
psychiatrist,Abraham Roy Dr,1/ 5 Tiwi Garden Rd,Tiwi,NT,810,Australia,(08) 8927 4816,heather.north@reddiff.com,0475 025 390,(03) 3900 9743,616-1334 Tincidunt Rd.|SA|4017|Australia,et@habitantmorbitristique.org,130.879354,-12.359442,114
psychiatrist,"Abraham, Ned A/Prof.",187 Rose Ave,Coffs Harbour,NSW,2450,Australia,(02) 6652 6522,brandon.roberts@reddiff.com,0469 242 387,(03) 2855 0477,Ap #156-1091 Ornare. Av.|NSW|2904|Australia,consequat@mollisDuis.co.uk,153.12332,-30.28874,196
psychiatrist,Abrams Railea Dr,263 Glen Eira Rd,Caulfield North,VIC,3161,Australia,(03) 9528 1222,hannah.rampling@reddiff.com,0432 193 789,(03) 8029 4469,P.O. Box 948,lacus@lobortis.edu,145.01124,-37.87824,124
psychiatrist,Abraszko Renata Dr,"Suite 4, Level 3, 171 Bigge St",Liverpool,NSW,2170,Australia,(02) 9600 7083,sophie.greene@reddiff.com,0411 903 067,(03) 6061 5731,6966 Lobortis Avenue|TAS|2980|Australia,ac@velit.co.uk,150.92636,-33.92156,76
psychiatrist,Abraszko Renata Dr,"Suite 12, Level1, 82-84 Queen St",Campbelltown,NSW,2560,Australia,(02) 4625 2552,rachel.davies@reddiff.com,0480 900 181,(03) 4767 5432,Ap #336-1988 Consequat Av.|QLD|5077|Australia,mauris.sapien.cursus@leoVivamusnibh.net,150.817985,-34.063138,64
psychiatrist,Acar Murat Dr,Mt. Wilga Private Hospital 2 Manor Rd,Hornsby,NSW,1630,Australia,(02) 9847 5000,donna.jackson@reddiff.com,0431 915 425,(03) 0861 3487,P.O. Box 836,netus.et@miac.net,151.0931,-33.69259,50
psychiatrist,Access Health Care,18 Peel St,Tuncurry,NSW,2428,Australia,(02) 6555 5464,stephen.lyman@reddiff.com,0406 867 054,(03) 1890 0106,104 Nascetur Rd.|VIC|1266|Australia,molestie@diamProin.org,152.49785,-32.1761,157
psychiatrist,Access Health Care,1 Bent St,Wingham,NSW,2429,Australia,(02) 6553 4255,max.edmunds@reddiff.com,0431 825 086,(03) 6699 8746,7451 Sit St.|NSW|5691|Australia,cursus.luctus@malesuada.org,152.372068,-31.871787,158
psychiatrist,Achar Keshav,Suite 4/ 764 Princes Hwy,Sutherland,NSW,2232,Australia,(02) 9521 1595,donna.pullman@reddiff.com,0403 502 374,(03) 2289 7747,P.O. Box 612,magna@tinciduntorciquis.co.uk,151.05839,-34.03144,94
psychiatrist,Achuthan Warrier Dr,102 Bray St,Coffs Harbour,NSW,2450,Australia,(02) 6650 0765,ava.kelly@reddiff.com,0411 671 907,(03) 9145 2631,Ap #617-9553 Nam Street|NT|5008|Australia,nisi.Cum.sociis@malesuadaid.co.uk,153.10518,-30.27988,147
psychiatrist,Ackerley Peter Dr,26 Elbow St,West Kempsey,NSW,2440,Australia,(02) 6562 6888,boris.slater@reddiff.com,0463 013 540,(03) 8669 7023,Ap #459-5207 Ante. Av.|QLD|2190|Australia,feugiat.Sed.nec@risusatfringilla.com,152.8311,-31.07994,130
psychiatrist,Acosta Dr R,U3/Lvl 6/ 80 Myers St,Geelong,VIC,3220,Australia,(03) 5222 1515,leonard.dickens@reddiff.com,0432 488 978,(03) 4808 6991,Ap #646-6887 Lacus Avenue|VIC|8848|Australia,iaculis.odio@lorem.net,144.35769,-38.15166,144
psychiatrist,Adam Broad,Ste5/ 80 Myers St,Geelong,VIC,3220,Australia,(03) 5221 8802,amelia.morrison@reddiff.com,0493 882 772,(03) 6120 9361,645-9782 Auctor Ave|QLD|6940|Australia,dis.parturient@sodalespurus.net,144.357691,-38.151656,173
psychiatrist,Adam Rapaport Dr,Suite 5/ 51 Spring St,Bondi Junction,NSW,2022,Australia,(02) 9387 5627,claire.henderson@reddiff.com,0443 165 167,(03) 0065 8147,8576 Nisl. Avenue|QLD|9731|Australia,eu.placerat@sedturpisnec.co.uk,151.24678,-33.89241,138
psychiatrist,Adams A R Willcocks N J Paton R A,7 Star St,Macksville,NSW,2447,Australia,(02) 6568 1288,colin.allan@reddiff.com,0454 784 435,(03) 3497 4754,Ap #608-9172 Consectetuer Rd.|ACT|8326|Australia,dolor.sit@nonummy.edu,152.922,-30.70859,48
psychiatrist,Adams Anne,91 Canterbury Rd,Heathmont,VIC,3135,Australia,(03) 9729 4011,donna.simpson@reddiff.com,0424 088 316,(03) 7114 9021,P.O. Box 757,consectetuer@utpellentesqueeget.org,145.24656,-37.82709,140
psychiatrist,Adams Dr Barbara,28 Hannah St,Beecroft,NSW,2119,Australia,(02) 9484 1222,keith.black@reddiff.com,0470 700 080,(03) 2384 0459,Ap #994-7301 Donec Street|TAS|5929|Australia,pede.Nunc.sed@Integersem.org,151.06401,-33.74939,173
psychiatrist,Adams Dr Brett,876 Pittwater Rd,Dee Why,NSW,2099,Australia,(02) 9971 4557,steven.parr@reddiff.com,0432 434 208,(03) 4140 9328,Ap #789-4459 Curabitur St.|ACT|8477|Australia,ante@lectus.org,151.2862,-33.75326,92
psychiatrist,Adams J Dr,140- 154 Sladen St,Cranbourne,VIC,3977,Australia,(03) 5996 3188,virginia.glover@reddiff.com,0427 701 093,(03) 5499 2939,Ap #946-2034 At,pede.blandit@a.com,145.28064,-38.11333,120
psychiatrist,Adams John,238 Springvale Rd,Glen Waverley,VIC,3150,Australia,(03) 9887 8566,rebecca.ferguson@reddiff.com,0480 312 025,(03) 0003 3093,953-7547 Mi Street|NSW|6920|Australia,lectus@parturientmontesnascetur.ca,145.16643,-37.87852,49
psychiatrist,Adams Peter Dr,10 Grey St,Ringwood East,VIC,3135,Australia,(03) 9870 9999,connor.baker@reddiff.com,0448 262 328,(03) 8936 2791,P.O. Box 450,mauris.eu.elit@sagittisfelis.net,145.25414,-37.80786,49
psychiatrist,Adams Richard,94 George St,Beenleigh,QLD,4207,Australia,(07) 5532 6655,alan.kelly@reddiff.com,0459 294 019,(03) 3394 9404,Ap #392-5799 Quis Rd.|NSW|9090|Australia,est.Nunc@ridiculus.com,153.2041,-27.7163,108
psychiatrist,Adams Richard W,"Pacific Private Clinic Lvl 5, 123 Nerang St",Southport,QLD,4215,Australia,(07) 5591 2627,simon.avery@reddiff.com,0447 565 869,(03) 6924 6022,6446 Dis Av.|VIC|8139|Australia,amet.metus@Duisgravida.net,153.40781,-27.97042,170
psychiatrist,Adams Susan Dr,Sydney Childrens Hospital High St,Randwick,NSW,2031,Australia,(02) 9382 1776,jake.cameron@reddiff.com,0421 486 376,(03) 4273 3367,Ap #942-6843 Tempus Avenue|QLD|9103|Australia,justo.Proin.non@in.net,151.238993,-33.9176575,181
psychiatrist,Adams Tim Dr,Campus Shopping Village 1-3 Faculty Cl,Smithfield (Cairns),QLD,4878,Australia,(07) 4057 7300,diane.davies@reddiff.com,0475 806 712,(03) 1935 2202,P.O. Box 182,tincidunt@parturientmontesnascetur.net,145.69479,-16.820567,199
psychiatrist,"Adams, Dr Stephen P.R.",Flr 1/ 51 Colin St,West Perth,WA,6005,Australia,(08) 9226 1377,michael.vance@reddiff.com,0439 447 916,(03) 9607 2911,950-4693 Ante. Av.|SA|9317|Australia,sed@imperdieteratnonummy.co.uk,115.841487,-31.949336,114
psychiatrist,Adams-Dzierzba R,4 Wood St,Ashfield,NSW,2131,Australia,(02) 9799 8932,victoria.smith@reddiff.com,0470 824 552,(03) 2917 4862,P.O. Box 877,rhoncus.Nullam.velit@eu.com,151.12662,-33.88755,113
psychiatrist,Addison Adelle Dr,441 Algester Rd,Parkinson,QLD,4115,Australia,(07) 3272 6677,neil.clark@reddiff.com,0442 673 547,(03) 0421 4556,P.O. Box 229,consectetuer.adipiscing.elit@eratSed.edu,153.02808,-27.62842,195
psychiatrist,"""Take Control"" Active Rehab",4/ 91 Mulga Rd,Oatley,NSW,2223,Australia,(02) 9570 7800,penelope.davies@reddiff.com,0475 798 360,(03) 3895 2124,Ap #523-6467 Ornare. Rd.|NSW|1928|Australia,vel.mauris.Integer@luctus.org,151.07452,-33.98036,65
psychiatrist,"""Take Control"" Active Rehab & Physiotherapy",Unit 4/ 91 Mulga Rd,Oatley,NSW,2223,Australia,(02) 9570 7800,christian.oliver@reddiff.com,0401 361 896,(03) 7371 6995,Ap #750-1343 Non Ave|SA|9708|Australia,purus.ac@temporloremeget.net,151.07452,-33.98036,186
